service,platform,tier,source,owner,exposure,data_category,backup_owner,disposition,notes
room-ate,docker-compose,2,~/room-ate/room-ate/,dev,Host :3023,stateful-db (PG),none,retain,Roommate app
pocketbase,docker-compose,2,/etc/komodo/stacks/pocketbase/,user,Host :8090,stateful-vol,none,retain,PocketBase
backrest,docker-compose,1,/etc/komodo/stacks/backrest/,user,unknown (compose exists),stateful-vol,none,unknown,Komodo stack
couchdb-ubuntu,docker-compose,,/etc/komodo/stacks/couchdb-ubuntu/,user,,stateful-vol,,retire candidate,"Potential overlap with k3s couch-db, compose exists"
freshrss,docker-compose,1,/etc/komodo/stacks/freshrss/,user,,stateful-db,,unknown,Komodo stack
kopia,docker-compose,1,/etc/komodo/stacks/kopia/,user,,stateful-vol,,retire candidate,"Potential overlap with k3s Velero/Kopia, compose exists"
palmr,docker-compose,2,/etc/komodo/stacks/palmr/,user,,unknown,,unknown,Komodo stack
peekaping,docker-compose,2,/etc/komodo/stacks/peekaping/,user,,unknown,,unknown,Komodo stack
stirlingpdf,docker-compose,1,/etc/komodo/stacks/stirlingpdf/,user,,stateless,,unknown,Komodo stack
88b4aebd-wings-yolk,docker-wings,1,pelican-wings-managed,wings,Host :25565,stateful-vol (game data),Wings,retain,Pelican Wings Minecraft server (java_25)
257c3f10-wings-yolk,docker-wings,1,pelican-wings-managed,wings,Host :25566,stateful-vol (game data),Wings,retain,Pelican Wings Minecraft server (java_25)
